id,function,E14 log 2,SPB74 log 2,virido log 2,J1074 log 2,AA4 log 2,actinorhodin,prodiginine,CDA,DFO,coelichelin,coelibactin,TW95a,tetrahydroxynaphthalene,hopanoids,eicosapentaenoic acid,NRPS,type 1 PKS,type 1 PKS #2,chalcone synth 1,siderophore,FAS,sugar synthase,geosmin,butyro lactone,chalcone synth 2,sesq synth,deferrioxamine,Coelibactin_,sapB,chaplins,rodlins,aerial hyphae,Hierarchical Clustering (order),transient_osmotic_stress_from_lee,sustained_osmotic_lee,delayed_induction_osmotic_lee,transient_repression_osmotic_lee,Binned virido log2,Binned J1074 log2,Binned E14 log 2,Binned SPB74 log 2,Binned AA4 log2,Binned E14 log 2 (1),Binned SPB74 log 2 (1),Binned J1074 log2 (1),Binned AA4 log2 (1),Binned virido log2 (2)
SCO1877,_-_hypothetical_protein,0.224633145,-1.595713829,-1.541108407,-1.401792808,-0.655902252,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,742,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1878,_-_hypothetical_protein,0.019084288,-0.188771744,-1.01276417,-1.210835998,-0.285637775,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1280,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1881,_-_hypothetical_protein,-0.08519308,-0.356420395,1.914170519,0.817571623,1.884392918,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6600,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1884,_-_hypothetical_protein,-0.248414905,-0.003497204,-0.734883432,-2.388193672,-0.606123244,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,313,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1891,_-_hypothetical_protein,0.989977698,2.043337438,3.85685488,4.526230751,2.362538852,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7453,No,No,No,No,2 < x = 4,4 < x,0 < x = 2,2 < x = 4,2 < x = 4,x = 2,2 < x,2 < x,2 < x,2 < x
SCO1894,_-_hypothetical_protein,1.637272945,0.581465297,2.660826149,2.702869981,3.10829202,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7468,No,No,No,No,2 < x = 4,2 < x = 4,0 < x = 2,0 < x = 2,2 < x = 4,x = 2,x = 2,2 < x,2 < x,2 < x
SCO1896,_-_hypothetical_protein,-0.379822652,-0.368835427,1.905031515,0.864497876,1.352964529,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6078,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1902,_-_hypothetical_protein,-0.011083478,-1.548142321,0.255683842,-0.131792261,-0.435403843,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,468,No,No,No,No,0 < x = 2,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1905,_-_hypothetical_protein,0.35148996,3.133934406,2.472074573,2.999629811,1.482024148,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7304,No,Yes,No,No,2 < x = 4,2 < x = 4,0 < x = 2,2 < x = 4,0 < x = 2,x = 2,2 < x,2 < x,x = 2,2 < x
SCO1906,_-_hypothetical_protein,0.1623183,3.796712081,2.109620747,2.885050624,1.261103273,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7308,No,No,No,No,2 < x = 4,2 < x = 4,0 < x = 2,2 < x = 4,0 < x = 2,x = 2,2 < x,2 < x,x = 2,2 < x
SCO1907,_-_hypothetical_protein,0.056366031,0.529990649,-0.097802629,-0.241548432,-0.233149616,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3000,No,No,No,No,#NAME?,#NAME?,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1908,_-_large_hypothetical_protein,-0.017110873,0.803653721,-0.156132895,0.203925165,-0.368459199,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4281,No,No,No,No,#NAME?,0 < x = 2,#NAME?,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1909,_-_hypothetical_protein,-0.017543141,0.100121289,2.162202114,2.593059348,2.606362076,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6637,No,No,No,No,2 < x = 4,2 < x = 4,#NAME?,0 < x = 2,2 < x = 4,x = 2,x = 2,2 < x,2 < x,2 < x
SCO1911,_-_hypothetical_protein,-0.375258567,-0.857666797,-1.398368077,-0.572797569,-2.174089449,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,554,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1914,_-_hypothetical_protein,0.371187526,0.549375618,0.451779794,0.899914501,-0.571844941,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4931,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1915,_-_hypothetical_protein,-0.01997804,-0.164653297,0.085425351,0.17977695,-0.44453828,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3112,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1917,_-_hypothetical_protein,0.372872326,0.625850845,2.05052334,-1.093251276,0.134326231,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6375,No,No,No,No,2 < x = 4,#NAME?,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,2 < x
SCO1918,_-_hypothetical_protein,0.51122612,0.89874656,3.756457551,0.503355981,0.811935997,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6381,No,No,No,No,2 < x = 4,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,2 < x
SCO1919,_-_hypothetical_protein,0.877416544,0.378817174,0.389163452,0.552153649,1.488479569,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4686,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1920,_-_hypothetical_protein,0.692908566,0.120423122,0.163371198,0.139798726,1.22398596,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4681,No,Yes,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1924,_-_hypothetical_protein,0.613438535,-0.051115381,-0.491382852,-0.335588965,1.488765945,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4655,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1925,_-_hypothetical_protein,0.761855278,0.316895182,-0.155575695,-0.117928265,1.590404255,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4679,No,No,No,No,#NAME?,#NAME?,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1931,_-_hypothetical_protein,0.728250776,1.217585888,0.661893513,0.743401214,-0.285542935,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5871,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1932,_-_hypothetical_protein,-0.121280354,0.631867928,-0.211516037,-0.080260006,0.505950802,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4168,No,No,No,No,#NAME?,#NAME?,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1933,_-_hypothetical_protein,-0.154124231,1.053224958,1.058842632,0.435059369,0.924326993,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5445,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1938,_-_hypothetical_protein,-0.117843763,-0.595331501,-0.841025767,-0.982389612,-0.248245463,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1220,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1940,_-_hypothetical_protein,0.153595481,-0.490489397,-0.434248564,-0.222335297,-0.308757548,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3218,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1941,_-_hypothetical_protein,-0.020916406,-0.3264673,-0.696735902,-0.576194192,-0.52119273,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1605,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1949,_-_hypothetical_protein,-0.1376605,-1.613924071,-0.915964295,-1.087921734,-0.81065831,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,805,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1950,_-_hypothetical_protein,-0.151284734,-0.554186125,-0.667852173,-0.715786915,-0.279106321,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1581,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1951,_-_hypothetical_protein,-0.003650027,-0.541823677,-0.682426488,-0.648480777,-0.164792363,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1591,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1952,_-_hypothetical_protein,-0.268145624,-0.854235638,-1.012857251,-1.086749585,-0.248537732,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,868,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1954,_-_hypothetical_protein,-0.012782984,-0.307912122,0.875294493,0.801236232,0.173042371,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4803,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1967,_-_hypothetical_protein,0.085518328,0.198211919,0.776484123,1.486666372,0.353533167,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5710,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1971,_-_hypothetical_protein,0.331223427,1.258935811,1.733921792,1.941670353,1.228019201,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6831,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1973,_-_hypothetical_protein,0.2632714,-0.00523038,-0.995987599,-0.536159938,-0.667560349,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2752,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1975,_-_hypothetical_protein,-0.258458581,-0.813144233,-1.310262488,-1.378577677,-1.220754937,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,764,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1976,_-_hypothetical_protein,-0.067907302,-0.631225054,-1.018220963,-0.711281182,-0.973882518,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1022,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1980,_-_hypothetical_protein,0.41410497,0.040169222,-0.551668909,-0.802845349,-0.49355457,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2774,No,No,No,No,#NAME?,#NAME?,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1981,_-_hypothetical_protein,0.348179203,-0.773045513,-0.973094185,-0.876094732,-0.837169902,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,800,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1982,_-_hypothetical_protein,-0.181031533,-1.318380101,-0.406288061,-0.493815543,-0.120952888,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2083,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1983,_-_hypothetical_protein,-0.863661539,-0.805292669,-0.087716437,0.370179114,-0.87902025,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2161,No,No,No,No,#NAME?,0 < x = 2,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1985,_-_hypothetical_protein,0.598891659,0.225232595,-0.193928561,-0.889121285,0.569414094,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4508,No,No,No,No,#NAME?,#NAME?,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1986,_-_hypothetical_protein,-0.048476853,0.07072538,1.269658601,1.691704809,1.12163227,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6188,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1987,_-_hypothetical_protein,0.230340074,1.134338119,1.187321384,1.712965892,-0.261402657,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6749,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1988,_-_hypothetical_protein,-0.30242702,-0.733847821,0.350186461,0.584108448,-1.618799221,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,172,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1990,_-_hypothetical_protein,-0.388217191,0.076896612,-0.282737289,-0.517459538,-0.251309053,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3533,No,No,No,No,#NAME?,#NAME?,#NAME?,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1991,_-_hypothetical_protein,0.10193704,0.748385832,0.170398882,0.257525603,-0.555403146,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4289,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1992,_-_hypothetical_protein,-0.089673757,-0.821276777,0.974674717,0.920189901,0.497058,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4813,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1993,_-_hypothetical_protein,-0.45870661,-1.058323435,1.068774664,1.246129967,0.554696784,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6066,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1994,_-_hypothetical_protein,-0.181321112,-0.178899641,0.078227648,-0.076502278,0.349569075,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2573,No,No,No,No,0 < x = 2,#NAME?,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1995,_-_hypothetical_protein,-0.634024298,0.7516327,1.358058778,0.802304366,0.727412768,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5506,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1997,_-_hypothetical_protein,-0.165082439,1.386108538,1.908310524,1.27232255,1.712524505,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7040,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO1999,_-_hypothetical_protein,-0.206967505,-0.814869893,-0.346338754,-0.239092927,-0.211637108,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3166,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2001,_-_hypothetical_protein,0.106052368,-0.257812533,-0.568964972,-0.510880081,-0.075506229,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3437,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2002,_-_hypothetical_protein,1.286071063,1.01541949,-0.416868195,-0.362777779,0.262809843,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4524,No,No,No,No,#NAME?,#NAME?,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2005,_-_hypothetical_protein,-0.032160652,-0.302752004,0.795404568,0.452657567,-0.198468175,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4995,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2006,_-_hypothetical_protein,-0.079520953,-0.228771267,0.993561168,1.326531535,0.087196213,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5235,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2007,_-_hypothetical_protein,-0.077850738,-0.205794492,1.571328162,1.852943099,0.579929953,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6232,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2020,_-_hypothetical_protein,0.016463648,-0.746018647,0.389700302,0.367954952,0.204329809,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2309,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2021,_-_hypothetical_protein,-0.278055474,0.245875406,0.782957193,1.142462267,-0.599247958,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5211,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2022,_-_hypothetical_protein,0.249318798,0.48882222,-0.010381505,0.104113466,0.24680122,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4153,No,No,No,No,#NAME?,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2023,_-_hypothetical_protein,0.136195713,-0.454598612,-0.535957509,-0.683153501,-0.615118863,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1536,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2027,_-_hypothetical_protein,-0.876681378,1.98761346,0.843650396,1.039910971,-0.996849243,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6358,No,No,No,No,0 < x = 2,0 < x = 2,#NAME?,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2028,_-_hypothetical_protein,0.332233235,-0.391586174,0.126964897,1.065053505,-0.351061369,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4747,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2029,_-_hypothetical_protein,-1.789016607,0,-0.754238299,-1.286348978,0.542369893,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,266,No,No,No,No,#NAME?,#NAME?,#NAME?,#NAME?,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2030,_-_hypothetical_protein,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3782,No,No,No,No,,,,,,,,,,
SCO2031,_-_hypothetical_protein,,0,2.444443635,1.291188502,3.172939918,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,6613,No,No,No,No,2 < x = 4,0 < x = 2,,#NAME?,2 < x = 4,,x = 2,x = 2,2 < x,2 < x
SCO2032,_-_hypothetical_protein,0.358898492,0.766497106,2.358314293,2.163217653,2.373514981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7160,No,No,No,No,2 < x = 4,2 < x = 4,0 < x = 2,0 < x = 2,2 < x = 4,x = 2,x = 2,2 < x,2 < x,2 < x
SCO2035,_-_hypothetical_protein,0.254737006,1.006688262,2.955286907,4.329791694,2.096097424,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7374,No,No,No,No,2 < x = 4,4 < x,0 < x = 2,0 < x = 2,2 < x = 4,x = 2,x = 2,2 < x,2 < x,2 < x
SCO2038,_-_hypothetical_protein,0.468569021,1.295980012,0.955081191,1.059020598,0.793194112,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5648,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2040,_-_hypothetical_protein,0.268780489,0.276697722,-0.554627424,-0.516231007,-0.629495643,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2739,No,No,No,No,#NAME?,#NAME?,0 < x = 2,0 < x = 2,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2041,_-_hypothetical_protein,0.117978241,0.424305033,0.36537751,0.326695915,0.119634011,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5033,No,No,No,No,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2042,_-_hypothetical_protein,0.569312507,0.745634216,0.038582847,-0.328061369,0.505860823,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4234,No,No,No,No,0 < x = 2,#NAME?,0 < x = 2,0 < x = 2,0 < x = 2,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2045,_-_hypothetical_protein,0.026182174,-0.473391375,-0.475136364,-0.528992742,-0.433203499,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1612,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2049,_-_hypothetical_protein,0.097971365,-0.674561821,-0.597119672,-0.438885907,-0.409799663,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1558,No,No,No,No,#NAME?,#NAME?,0 < x = 2,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
SCO2055,_-_hypothetical_protein,-0.219407747,-0.196976858,4.022397864,4.116055457,3.2020745,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7348,No,No,No,No,4 < x,4 < x,#NAME?,#NAME?,2 < x = 4,x = 2,x = 2,2 < x,2 < x,2 < x
SCO2056,_-_hypothetical_protein,-0.241805091,-1.084113372,-0.162071915,0.129623715,-0.313828437,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2183,No,No,No,No,#NAME?,0 < x = 2,#NAME?,#NAME?,#NAME?,x = 2,x = 2,x = 2,x = 2,x = 2
